age,qx_male,qx_female
12,0.001063,0.000513
13,0.001093,0.000515
14,0.001124,0.000518
15,0.001158,0.000522
16,0.001195,0.000527
17,0.001239,0.000529
18,0.001282,0.000536
19,0.001331,0.000541
20,0.001375,0.000555
21,0.001432,0.000562
22,0.001496,0.000566
23,0.001562,0.000576
24,0.001636,0.000582
25,0.001715,0.000591
26,0.001791,0.000611
27,0.001882,0.000622
28,0.001984,0.000632
29,0.002082,0.000654
30,0.002200,0.000668
31,0.002319,0.000691
32,0.002456,0.000708
33,0.002597,0.000733
34,0.002761,0.000751
35,0.002926,0.000782
36,0.003112,0.000812
37,0.003311,0.000845
38,0.003542,0.000868
39,0.003783,0.000905
40,0.004029,0.000961
41,0.004317,0.001003
42,0.004633,0.001047
43,0.004964,0.001112
44,0.005345,0.001163
45,0.005749,0.001233
46,0.006191,0.001311
47,0.006684,0.001390
48,0.007227,0.001477
49,0.007807,0.001589
50,0.008475,0.001685
51,0.009189,0.001813
52,0.009965,0.001967
53,0.010850,0.002112
54,0.011788,0.002314
55,0.012860,0.002504
56,0.014035,0.002731
57,0.015320,0.003004
58,0.016760,0.003296
59,0.018347,0.003637
60,0.020106,0.004028
61,0.022075,0.004457
62,0.024234,0.004976
63,0.026639,0.005565
64,0.029284,0.006272
65,0.032248,0.007064
66,0.035530,0.007992
67,0.039146,0.009100
68,0.043171,0.010381
69,0.047631,0.011885
70,0.052557,0.013667
71,0.058012,0.015758
72,0.064030,0.018236
73,0.070659,0.021171
74,0.077904,0.024700
75,0.085854,0.028884
76,0.094492,0.033906
77,0.103854,0.039920
78,0.113966,0.047102
79,0.124836,0.055666
80,0.136327,0.065983
81,0.148448,0.078298
82,0.161025,0.093041
83,0.173965,0.110575
84,0.187014,0.131414
85,0.199963,0.156017
86,0.212452,0.184970
87,0.224153,0.218783
88,0.234739,0.257915
89,0.243788,0.302838
90,0.249001,0.355809
91,0.259760,0.407294
92,0.289629,0.443451
93,0.321584,0.480890
94,0.355497,0.519191
95,0.391151,0.557897
96,0.428265,0.596505
97,0.466453,0.634545
98,0.505397,0.671429
99,0.544675,0.706683
100,1.000000,1.000000
