age,qx_unisex,qx_male,qx_female,qx_p995
0,0.000433,0.000433,0.000433,0.000654
1,0.000433,0.000433,0.000433,0.000654
2,0.000434,0.000434,0.000434,0.000655
3,0.000434,0.000434,0.000434,0.000656
4,0.000435,0.000435,0.000435,0.000657
5,0.000436,0.000436,0.000436,0.000659
6,0.000438,0.000438,0.000438,0.000662
7,0.000440,0.000440,0.000440,0.000665
8,0.000443,0.000443,0.000443,0.000668
9,0.000446,0.000446,0.000446,0.000673
10,0.000449,0.000449,0.000449,0.000678
11,0.000453,0.000453,0.000453,0.000684
12,0.000457,0.000457,0.000457,0.000691
13,0.000463,0.000463,0.000463,0.000699
14,0.000468,0.000468,0.000468,0.000707
15,0.000475,0.000475,0.000475,0.000717
16,0.000482,0.000482,0.000482,0.000727
17,0.000489,0.000489,0.000489,0.000739
18,0.000498,0.000498,0.000498,0.000751
19,0.000507,0.000507,0.000507,0.000765
20,0.000517,0.000517,0.000517,0.000780
21,0.000528,0.000528,0.000528,0.000797
22,0.000540,0.000540,0.000540,0.000815
23,0.000553,0.000553,0.000553,0.000834
24,0.000567,0.000567,0.000567,0.000855
25,0.000582,0.000582,0.000582,0.000878
26,0.000598,0.000598,0.000598,0.000903
27,0.000616,0.000616,0.000616,0.000930
28,0.000635,0.000635,0.000635,0.000959
29,0.000656,0.000656,0.000656,0.000990
30,0.000678,0.000678,0.000678,0.001024
31,0.000703,0.000703,0.000703,0.001060
32,0.000729,0.000729,0.000729,0.001100
33,0.000757,0.000757,0.000757,0.001142
34,0.000788,0.000788,0.000788,0.001188
35,0.000821,0.000821,0.000821,0.001238
36,0.000857,0.000857,0.000857,0.001292
37,0.000896,0.000896,0.000896,0.001351
38,0.000938,0.000938,0.000938,0.001414
39,0.000983,0.000983,0.000983,0.001483
40,0.001033,0.001033,0.001033,0.001557
41,0.001087,0.001087,0.001087,0.001638
42,0.001145,0.001145,0.001145,0.001726
43,0.001208,0.001208,0.001208,0.001822
44,0.001278,0.001278,0.001278,0.001926
45,0.001353,0.001353,0.001353,0.002039
46,0.001435,0.001435,0.001435,0.002163
47,0.001525,0.001525,0.001525,0.002298
48,0.001623,0.001623,0.001623,0.002446
49,0.001730,0.001730,0.001730,0.002608
50,0.001848,0.001848,0.001848,0.002785
51,0.001977,0.001977,0.001977,0.002979
52,0.002119,0.002119,0.002119,0.003193
53,0.002274,0.002274,0.002274,0.003427
54,0.002446,0.002446,0.002446,0.003686
55,0.002635,0.002635,0.002635,0.003970
56,0.002844,0.002844,0.002844,0.004285
57,0.003074,0.003074,0.003074,0.004633
58,0.003329,0.003329,0.003329,0.005017
59,0.003612,0.003612,0.003612,0.005444
60,0.003926,0.003926,0.003926,0.005917
61,0.004275,0.004275,0.004275,0.006443
62,0.004664,0.004664,0.004664,0.007028
63,0.005096,0.005096,0.005096,0.007680
64,0.005579,0.005579,0.005579,0.008408
65,0.006119,0.006119,0.006119,0.009222
66,0.006723,0.006723,0.006723,0.010132
67,0.007400,0.007400,0.007400,0.011152
68,0.008160,0.008160,0.008160,0.012298
69,0.009015,0.009015,0.009015,0.013584
70,0.009977,0.009977,0.009977,0.015033
71,0.011061,0.011061,0.011061,0.016665
72,0.012285,0.012285,0.012285,0.018506
73,0.013668,0.013668,0.013668,0.020586
74,0.015235,0.015235,0.015235,0.022938
75,0.017009,0.017009,0.017009,0.025602
76,0.019024,0.019024,0.019024,0.028621
77,0.021312,0.021312,0.021312,0.032047
78,0.023915,0.023915,0.023915,0.035938
79,0.026879,0.026879,0.026879,0.040359
80,0.030257,0.030257,0.030257,0.045386
81,0.034110,0.034110,0.034110,0.051105
82,0.038509,0.038509,0.038509,0.057613
83,0.043533,0.043533,0.043533,0.065017
84,0.049274,0.049274,0.049274,0.073439
85,0.055833,0.055833,0.055833,0.083013
86,0.063329,0.063329,0.063329,0.093886
87,0.071889,0.071889,0.071889,0.106216
88,0.081660,0.081660,0.081660,0.120173
89,0.092798,0.092798,0.092798,0.135933
90,0.105476,0.105476,0.105476,0.153674
91,0.119875,0.119875,0.119875,0.173570
92,0.136184,0.136184,0.136184,0.195783
93,0.154594,0.154594,0.154594,0.220449
94,0.175291,0.175291,0.175291,0.247667
95,0.198441,0.198441,0.198441,0.277484
96,0.224184,0.224184,0.224184,0.309876
97,0.252613,0.252613,0.252613,0.344738
98,0.283760,0.283760,0.283760,0.381869
99,0.317576,0.317576,0.317576,0.420967
100,0.353919,0.353919,0.353919,0.461627
101,0.392540,0.392540,0.392540,0.503354
102,0.433078,0.433078,0.433078,0.545583
103,0.475068,0.475068,0.475068,0.587703
104,0.517949,0.517949,0.517949,0.629097
105,0.561099,0.561099,0.561099,0.669172
106,0.603861,0.603861,0.603861,0.707398
107,0.645589,0.645589,0.645589,0.743332
108,0.685682,0.685682,0.685682,0.776641
109,0.723620,0.723620,0.723620,0.807103
110,0.758991,0.758991,0.758991,0.834611
