age,qx_male,qx_female
0,0.00073,0.00041
1,0.00073,0.00041
2,0.00074,0.00041
3,0.00074,0.00041
4,0.00075,0.00041
5,0.00076,0.00041
6,0.00077,0.00041
7,0.00078,0.00041
8,0.00079,0.00041
9,0.00080,0.00041
10,0.00082,0.00041
11,0.00083,0.00041
12,0.00085,0.00041
13,0.00087,0.00041
14,0.00089,0.00041
15,0.00091,0.00041
16,0.00093,0.00041
17,0.00096,0.00041
18,0.00098,0.00041
19,0.00101,0.00041
20,0.00104,0.00042
21,0.00107,0.00042
22,0.00111,0.00042
23,0.00114,0.00042
24,0.00118,0.00042
25,0.00122,0.00042
26,0.00126,0.00043
27,0.00130,0.00043
28,0.00135,0.00043
29,0.00140,0.00044
30,0.00145,0.00044
31,0.00151,0.00045
32,0.00156,0.00045
33,0.00163,0.00046
34,0.00169,0.00046
35,0.00176,0.00047
36,0.00184,0.00048
37,0.00192,0.00049
38,0.00200,0.00049
39,0.00209,0.00050
40,0.00218,0.00052
41,0.00228,0.00053
42,0.00239,0.00054
43,0.00250,0.00056
44,0.00262,0.00057
45,0.00275,0.00059
46,0.00288,0.00061
47,0.00303,0.00063
48,0.00318,0.00065
49,0.00334,0.00068
50,0.00352,0.00070
51,0.00370,0.00073
52,0.00390,0.00077
53,0.00411,0.00080
54,0.00433,0.00085
55,0.00457,0.00089
56,0.00483,0.00094
57,0.00510,0.00100
58,0.00539,0.00106
59,0.00570,0.00113
60,0.00604,0.00121
61,0.00639,0.00129
62,0.00677,0.00139
63,0.00718,0.00150
64,0.00761,0.00163
65,0.00808,0.00177
66,0.00858,0.00193
67,0.00912,0.00212
68,0.00969,0.00233
69,0.01030,0.00257
70,0.01096,0.00285
71,0.01167,0.00317
72,0.01243,0.00354
73,0.01325,0.00397
74,0.01413,0.00448
75,0.01507,0.00507
76,0.01608,0.00577
77,0.01717,0.00660
78,0.01834,0.00758
79,0.01960,0.00874
80,0.02095,0.01014
81,0.02241,0.01182
82,0.02397,0.01385
83,0.02566,0.01631
84,0.02748,0.01931
85,0.02944,0.02297
86,0.03154,0.02746
87,0.03381,0.03300
88,0.03626,0.03984
89,0.03889,0.04831
90,0.04560,0.06516
91,0.05231,0.08202
92,0.06110,0.09355
93,0.07136,0.10671
94,0.08335,0.12173
95,0.09735,0.13885
96,0.11371,0.15838
97,0.13281,0.18067
98,0.15512,0.20608
99,0.18118,0.23507
100,0.21162,0.26814
101,0.24718,0.30586
102,0.28870,0.34889
103,0.33721,0.39798
104,0.39386,0.45396
105,0.46003,0.51782
106,0.53731,0.59067
107,0.62758,0.67377
108,0.73302,0.76855
109,0.85616,0.87667
110,1.00000,1.00000
