age,qx_male,qx_female
15,0.000430,0.000150
16,0.000460,0.000150
17,0.000490,0.000160
18,0.000530,0.000170
19,0.000580,0.000180
20,0.000630,0.000190
21,0.000690,0.000210
22,0.000760,0.000220
23,0.000830,0.000240
24,0.000900,0.000250
25,0.000970,0.000260
26,0.001060,0.000270
27,0.001140,0.000280
28,0.001230,0.000300
29,0.001320,0.000310
30,0.001410,0.000330
31,0.001510,0.000350
32,0.001610,0.000380
33,0.001720,0.000410
34,0.001830,0.000440
35,0.001940,0.000480
36,0.002060,0.000530
37,0.002190,0.000600
38,0.002320,0.000670
39,0.002460,0.000750
40,0.002610,0.000850
41,0.002760,0.000950
42,0.002930,0.001070
43,0.003110,0.001190
44,0.003300,0.001340
45,0.003510,0.001490
46,0.003740,0.001660
47,0.003990,0.001850
48,0.004260,0.002060
49,0.004560,0.002290
50,0.004890,0.002540
51,0.005250,0.002810
52,0.005650,0.003100
53,0.006090,0.003430
54,0.006580,0.003780
55,0.007120,0.004170
56,0.007720,0.004590
57,0.008390,0.005050
58,0.009120,0.005550
59,0.009940,0.006100
60,0.010850,0.006720
61,0.011860,0.007400
62,0.012980,0.008150
63,0.014220,0.008990
64,0.015600,0.009910
65,0.017130,0.010920
66,0.018830,0.012050
67,0.020710,0.013290
68,0.022790,0.014670
69,0.025100,0.016190
70,0.027650,0.017870
71,0.030480,0.019720
72,0.033610,0.021770
73,0.037070,0.024020
74,0.040880,0.026520
75,0.045090,0.029260
76,0.049730,0.032280
77,0.054840,0.035610
78,0.060460,0.039270
79,0.066640,0.043300
80,0.073410,0.047720
81,0.080830,0.052560
82,0.088950,0.057870
83,0.097810,0.063680
84,0.107470,0.070030
85,0.117890,0.077000
86,0.129100,0.084640
87,0.141140,0.093030
88,0.154030,0.102210
89,0.167800,0.112260
90,0.182470,0.123250
91,0.198060,0.135260
92,0.214570,0.148350
93,0.232010,0.162620
94,0.250380,0.178150
95,0.269660,0.195000
96,0.289830,0.213270
97,0.310860,0.233030
98,0.332730,0.254350
99,0.355360,0.277280
100,0.378710,0.301880
101,0.402710,0.328180
102,0.427280,0.356190
103,0.452330,0.385890
104,0.477750,0.417230
105,0.503460,0.450140
106,0.529330,0.484500
107,0.555250,0.520120
108,0.581110,0.556790
109,0.606770,0.594230
110,1.000000,1.000000
