  Human Mortality Database
  SPAIN death counts (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0    200.9928617499    237.3379529009    445.7811848824
      1990         1     10.0738268753     12.4772939877     22.9011264638
      1990         2     10.3517191297     12.7832925105     23.1161697942
      1990         3      9.4314549537     12.7440593943     21.8453514159
      1990         4      9.2211444312     13.5256949048     21.9596610601
      1990         5     10.3084859826     13.6957300406     24.2607176025
      1990         6     10.1710817250     12.8942497698     23.0581602579
      1990         7      9.9141418484     13.5824772410     24.3205183054
      1990         8     10.3603749508     13.8321171816     22.8187167859
      1990         9     10.5857444612     13.6156035901     23.7999103884
      1990        10     11.1370679621     13.8729584430     26.5805705286
      1990        11     11.6062133915     13.6351632253     24.9254769276
      1990        12     11.6645529523     14.6032080768     27.1386275610
      1990        13     11.8741081710     16.1418459449     27.4764474116
      1990        14     12.7521122121     17.1345946911     28.4465234908
      1990        15     14.0075476976     18.6496296534     34.1585838745
      1990        16     15.6327008834     22.0765991326     35.9471883772
      1990        17     18.9877682781     23.6748320135     42.1919301312
      1990        18     22.5324405821     28.7236856894     51.0974710873
      1990        19     25.3080996574     33.3092632171     57.1166306596
      1990        20     27.3191141839     36.2653880891     64.8227003024
      1990        21     28.3239364336     41.2744507769     65.1126341425
      1990        22     29.6298532247     40.7744643061     67.2305913720
      1990        23     30.1655935612     42.1930429403     68.8409738026
      1990        24     30.5090085773     36.3952550622     66.8398531076
      1990        25     25.9149181054     38.2474194449     64.6418128492
      1990        26     26.8702574475     32.8213753986     61.7426714228
      1990        27     24.5232386733     30.0403279746     57.3047173682
      1990        28     23.1696512378     29.2195773707     54.1925088379
      1990        29     24.3084714474     30.8864928365     51.2164104314
      1990        30     22.7733660506     30.2705169232     52.8067197897
      1990        31     23.8248223482     32.5752281651     54.3081018712
      1990        32     25.5898490253     32.5049241213     59.3636756172
      1990        33     27.9707166510     35.0883253080     62.0582581830
      1990        34     29.6004873550     36.4171098807     66.1508215452
      1990        35     29.6884471865     38.3260511028     67.1495279641
      1990        36     30.9535104684     40.8576145533     77.0316026529
      1990        37     34.7933182476     43.3188397528     77.3278211994
      1990        38     37.1629674844     50.7044363765     91.6833716025
      1990        39     39.0262742107     54.6232508606     85.3080453829
      1990        40     44.9459081209     55.1026882859     94.0218787992
      1990        41     46.9770862666     60.6465423609    102.6847815931
      1990        42     50.8980791605     62.7587298102    118.7888489029
      1990        43     51.3098116873     68.2001820222    127.4243913050
      1990        44     56.0275474698     77.2586872795    133.2001996179
      1990        45     60.9534467229     81.6600614421    149.1787449826
      1990        46     66.2459239090     89.7476608719    147.0500239739
      1990        47     75.9649978855    100.7259038848    174.3100372378
      1990        48     79.7276748527    106.4498528472    192.0383258129
      1990        49     84.2607037721    116.4677604295    205.8735751901
      1990        50     93.3900894663    123.6094121922    214.2295278500
      1990        51    110.0997599898    134.4363036795    226.0405779808
      1990        52    111.4218270753    149.0811287773    245.9977395183
      1990        53    136.4967542902    163.1313784985    281.0427981082
      1990        54    136.9954041773    178.9518337007    305.1375833888
      1990        55    146.3889818405    200.4548759241    344.9306849193
      1990        56    162.6745522794    198.4629230067    390.7359652609
      1990        57    170.1555839774    223.3984491053    414.4555084021
      1990        58    188.9995118311    249.5442473046    460.5526238505
      1990        59    215.2000291257    275.4907437576    491.6066458400
      1990        60    233.6609298151    301.7226533311    536.0535063151
      1990        61    232.1914939582    320.2603851507    544.0665934173
      1990        62    247.4094494306    319.4541938845    597.7161932761
      1990        63    246.8357350231    328.0352183028    585.5382720945
      1990        64    253.5254442840    332.1425269039    626.7078020434
      1990        65    280.1679171418    355.3860984165    649.0451944321
      1990        66    287.0951074798    373.5485349552    647.7567390496
      1990        67    297.7213731429    392.5742544540    669.3554757935
      1990        68    341.3849903283    437.9877913522    797.5365125068
      1990        69    331.0407652804    441.9588878984    804.6499399727
      1990        70    357.3285095256    468.9500439381    813.6436648617
      1990        71    348.5726572688    466.7813786868    834.5268410515
      1990        72    374.5544495699    503.3876648635    845.0798115012
      1990        73    410.4293995442    530.4244342822    843.9307867853
      1990        74    419.7276130698    557.7378405669    926.6316413322
      1990        75    453.3697401142    569.0407095815   1026.5915163266
      1990        76    441.0071305018    610.6649022386   1098.5923510429
      1990        77    483.1864099830    645.0045138364   1146.9642793324
      1990        78    497.5548502936    700.1114522261   1143.3631900790
      1990        79    528.5346410636    705.6282345742   1260.2614144084
      1990        80    573.2575895527    717.9733041101   1284.1144535185
      1990        81    555.1370450939    741.5792873687   1325.6153758407
      1990        82    615.2512159048    771.9358850989   1413.7421321189
      1990        83    650.3368121054    850.3073646305   1407.0303782825
