  Human Mortality Database
  SPAIN person-years of exposure (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0  37266.8359189972  35545.3283746989  76388.8301414705
      1990         1  41023.1735485723  38610.8582842449  84745.7144216327
      1990         2  42556.5997433047  38857.8076281361  80904.9717942421
      1990         3  41067.7873569351  39622.8418150396  79561.5344652115
      1990         4  39636.4649299989  40138.0437617530  78064.7185833541
      1990         5  41253.4754304650  39220.4026070062  81718.3901437451
      1990         6  40297.4106686348  39993.9701284768  76495.9103387263
      1990         7  40113.7456737964  39373.0274981610  81979.5788314098
      1990         8  40612.6329736991  38248.6513528554  79053.7674670680
      1990         9  39941.9373392825  38200.7140890103  78827.6964053044
      1990        10  40443.9496896975  38560.6778681919  79934.7250784767
      1990        11  41274.7133086142  37044.7960124624  77216.8784794301
      1990        12  39920.9185511070  38274.5426065236  78054.4630515108
      1990        13  38862.2229265114  38350.4772155485  78188.6631959388
      1990        14  39358.8417275445  37988.1596872457  75041.2676016105
      1990        15  39555.4347927094  37386.2110363767  78170.2168381800
      1990        16  38492.1296235746  38000.4197208431  76068.0154150806
      1990        17  39108.1332102157  37184.9696427239  75418.2224416908
      1990        18  40025.0850702451  38157.8327849862  76861.5337947961
      1990        19  38053.8659377062  39188.2460715053  77358.2578324576
      1990        20  38808.9860723990  38156.3213214331  76754.0250933981
      1990        21  39399.9027179320  38280.5676208817  73431.6765709579
      1990        22  38081.1983469372  36808.1124382602  73970.1844449053
      1990        23  39074.4706819711  36977.8825756354  75560.1314818523
      1990        24  38805.2610733757  35997.7652904029  74932.7513600034
      1990        25  37195.0115096366  37015.9126534764  75184.0190732594
      1990        26  38609.2073269464  36602.9839745594  74526.1804750411
      1990        27  38081.7285392414  35202.9635303808  76721.4120240018
      1990        28  37923.9027914925  36036.9561021564  75913.9177772233
      1990        29  37515.1182363447  36600.5559289650  73327.3981407562
      1990        30  37849.9612021683  36188.0900918951  71322.7834994889
      1990        31  37702.1039847419  36409.1828847160  73976.2392760620
      1990        32  38215.8894960019  35546.7171746390  75928.4141382930
      1990        33  37703.9112159686  37298.9134480594  73337.8628071309
      1990        34  38791.0974533088  35451.3053226799  73435.7976034219
      1990        35  37228.2216561079  35185.5967926619  71514.3723756088
      1990        36  37687.5440243982  35416.4892435283  72280.2396777440
      1990        37  37536.3370966327  34942.9022814962  72604.2786904857
      1990        38  37047.0041585540  36301.9478177902  74522.7918521211
      1990        39  36525.2615460455  36388.2897430657  70652.0054443513
      1990        40  35964.3496053733  35789.4098578425  69292.7366129975
      1990        41  37278.2093952257  34731.1240955007  71214.1334176304
