  Human Mortality Database
  SPAIN central death rates (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0      0.0053933439      0.0066770505      0.0058356855
      1990         1      0.0002455643      0.0003231551      0.0002702334
      1990         2      0.0002432459      0.0003289762      0.0002857200
      1990         3      0.0002296558      0.0003216342      0.0002745718
      1990         4      0.0002326430      0.0003369794      0.0002813007
      1990         5      0.0002498816      0.0003491991      0.0002968820
      1990         6      0.0002524004      0.0003224048      0.0003014300
      1990         7      0.0002471507      0.0003449691      0.0002966656
      1990         8      0.0002551023      0.0003616367      0.0002886481
      1990         9      0.0002650283      0.0003564228      0.0003019232
      1990        10      0.0002753704      0.0003597696      0.0003325285
      1990        11      0.0002811943      0.0003680723      0.0003227983
      1990        12      0.0002921915      0.0003815384      0.0003476884
      1990        13      0.0003055437      0.0004209034      0.0003514122
      1990        14      0.0003239961      0.0004510509      0.0003790784
      1990        15      0.0003541245      0.0004988371      0.0004369770
      1990        16      0.0004061272      0.0005809567      0.0004725664
      1990        17      0.0004855197      0.0006366775      0.0005594395
      1990        18      0.0005629580      0.0007527599      0.0006647990
      1990        19      0.0006650599      0.0008499810      0.0007383392
      1990        20      0.0007039378      0.0009504425      0.0008445512
      1990        21      0.0007188834      0.0010782090      0.0008867104
      1990        22      0.0007780704      0.0011077575      0.0009088877
      1990        23      0.0007720026      0.0011410346      0.0009110754
      1990        24      0.0007862080      0.0010110421      0.0008919978
      1990        25      0.0006967310      0.0010332697      0.0008597813
      1990        26      0.0006959547      0.0008966858      0.0008284696
      1990        27      0.0006439634      0.0008533466      0.0007469195
      1990        28      0.0006109511      0.0008108226      0.0007138679
      1990        29      0.0006479647      0.0008438804      0.0006984621
      1990        30      0.0006016748      0.0008364773      0.0007403906
      1990        31      0.0006319229      0.0008946981      0.0007341290
      1990        32      0.0006696128      0.0009144283      0.0007818374
      1990        33      0.0007418519      0.0009407332      0.0008461967
      1990        34      0.0007630742      0.0010272431      0.0009007980
      1990        35      0.0007974715      0.0010892540      0.0009389655
      1990        36      0.0008213194      0.0011536325      0.0010657353
      1990        37      0.0009269236      0.0012397035      0.0010650587
      1990        38      0.0010031302      0.0013967415      0.0012302729
