  Human Mortality Database
  USA death counts (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0    339.6985331045    435.3068808640    752.2901055518
      1990         1     13.6319663932     19.6200888184     34.8926085851
      1990         2     14.1067581667     18.3012329256     32.1405048814
      1990         3     14.6991930792     18.9941795772     33.9562006441
      1990         4     14.0375027197     19.8189037572     33.3822271722
      1990         5     15.7152896950     19.4884807997     34.6164015301
      1990         6     14.9894001790     19.6906836752     32.9544797979
      1990         7     15.5050284435     19.1114056100     34.8161675668
      1990         8     16.7615312519     19.9229904371     35.2525416267
      1990         9     15.4562403364     20.9009691446     36.3840295500
      1990        10     15.5092061205     20.9718354284     38.6761525694
      1990        11     19.0793833583     22.2991144017     38.1042680263
      1990        12     18.5890411385     25.4547434217     46.4303445150
      1990        13     21.7530419495     27.3598544309     50.1459317103
      1990        14     24.4891845337     32.2592340563     56.8053681852
      1990        15     31.7271735988     39.3058126441     66.9090032238
      1990        16     35.5114823202     43.4362556848     76.6993338288
      1990        17     39.5674800273     53.4094384136     92.3390630589
      1990        18     44.3299450150     55.8513937466    106.8232460048
      1990        19     48.9877948621     65.2655037891    112.2331388187
      1990        20     52.2512470511     66.7371940663    123.2560948380
      1990        21     54.6901267766     69.6521119138    117.7521208105
      1990        22     54.0096207765     67.9245133471    124.1440817170
      1990        23     55.0185313423     70.4347825466    117.8217478007
      1990        24     49.7702449455     63.6366730216    111.1225286304
      1990        25     45.1927954365     56.9920861515     97.2302789156
      1990        26     38.0198241824     54.9877430293     95.9417283660
      1990        27     37.8089984371     49.7695679303     85.2209159534
      1990        28     35.5077092388     47.2587502814     84.9255606655
      1990        29     33.6146223825     44.6656957259     86.6626294783
      1990        30     34.9322565744     42.3547131890     77.0826484627
      1990        31     35.6735470315     46.4131466964     82.1482899715
      1990        32     37.2389706973     46.4772481628     83.9311192970
      1990        33     40.9496466484     49.3547372324     90.7834596512
      1990        34     40.1416874803     56.3963414809     96.4636104435
      1990        35     42.6649557934     52.9335881032     97.3408381389
      1990        36     44.5001550358     62.7782576568    101.5098515119
      1990        37     48.7992439310     64.6193755040    116.7606474917
      1990        38     51.6544884823     66.1197039357    127.5710939155
      1990        39     59.6147128774     71.9163949538    135.9618501755
      1990        40     63.9892013571     78.4094598805    135.0069743036
      1990        41     63.9881334552     83.0918986912    155.6814082569
      1990        42     72.0541408946     92.8293616193    175.3206859696
      1990        43     76.8534633814     98.0423283571    172.7497058253
      1990        44     81.7572232310    105.7338137829    180.6068802183
      1990        45     91.6601644871    112.5826399242    204.8148646437
