  Human Mortality Database
  USA person-years of exposure (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0  49249.0019861131  46105.2266411715  94968.8865758193
      1990         1  48799.4503839043  48256.8277358574  98863.0040130996
      1990         2  49253.6299989811  49841.5128051618  96545.8736086573
      1990         3  50685.6344864138  48637.0209119967  97890.5765176599
      1990         4  48924.1700009315  49666.3141054795  99671.8217470578
      1990         5  53112.4448745246  47879.2143473116 102017.1531286122
      1990         6  49461.8055928444  49049.1519299541  98784.9298823042
      1990         7  50967.4730533076  47236.1507307663  97354.5860188853
      1990         8  50157.5846798319  47900.6324443182  98337.0752575118
      1990         9  49417.3382828377  47810.8645690489  98625.1249401224
      1990        10  49180.7830535011  48719.3014816738 100079.1928770287
      1990        11  50610.4081032487  47070.9494855673  94757.9935229094
      1990        12  49307.7772388153  47525.2571741051  99011.7838526138
      1990        13  49925.6785348249  48830.5819472310  94071.3501097747
      1990        14  49611.0124142746  49297.3986179971  97044.8381902544
      1990        15  51599.4493456892  48291.8378238311  96831.7854229153
      1990        16  51001.6311025890  47398.9775429893  94104.1590737073
      1990        17  48266.5604159308  49330.7614866955  99156.2683944541
      1990        18  49571.8588380801  47337.5816100222  97582.3792970574
      1990        19  48360.5506569051  47469.7700074848  98098.8468279504
      1990        20  47900.5790566836  46075.2093273040  96149.9240256509
      1990        21  48556.9548812334  45231.3747133755  91427.8089466767
      1990        22  46591.8156218396  46219.2875231164  93386.4299410967
      1990        23  50037.3810697400  46617.5696781710  95071.9155212187
      1990        24  46617.8650071485  47525.0271933424  94732.2156441750
      1990        25  47438.2015727027  45568.9474609960  92746.7171183100
      1990        26  47233.0445881170  45192.9737420914  93574.5656543079
      1990        27  47732.1465707766  45639.2028189816  92812.7719160822
      1990        28  47786.0094520711  44515.6750196051  93044.4841734860
      1990        29  46412.5084801054  45574.2513342327  95563.8140706078
      1990        30  46520.4729920996  43946.8117235513  92398.3301728750
      1990        31  47625.3409901447  45814.3376963552  91855.7197423547
      1990        32  47847.3188187062  43789.5781925255  92417.8729798283
      1990        33  48188.9838202962  44041.2106346208  92285.3379474891
      1990        34  46028.7326307817  46601.4759792950  91579.6744263272
      1990        35  46081.8818580311  43057.4034633901  91018.3923720904
      1990        36  44752.2692482067  44949.4985883285  91934.6603344686
      1990        37  45264.2888156790  43500.7414218362  90882.4845101776
      1990        38  45781.3748533208  44349.6745376030  92329.4934455121
      1990        39  47165.0189953646  45087.9410411435  92634.2683703268
      1990        40  45732.4460454799  42917.2109822673  86806.3558964286
      1990        41  46272.9817096209  43943.0159745913  89936.5795759209
      1990        42  44941.1025561753  43850.1680551233  90094.8650575848
      1990        43  45099.6360874157  42966.2068652631  88969.8386020328
      1990        44  44952.5874225386  43324.8417761109  84830.3822464196
      1990        45  45904.4538698539  42888.2765872268  87156.6973623661
      1990        46  43191.2401535476  44085.8643411382  88833.8556730391
      1990        47  44366.8399765988  43690.1838001804  88607.9372484514
      1990        48  44284.4802924009  43074.4694461221  86618.9942608206
      1990        49  43193.9185056312  41807.4410046096  87260.7323100681
      1990        50  45135.9662991120  41632.5287953212  85596.6390797105
      1990        51  43760.4996474485  40774.1162896662  85460.2002148207
      1990        52  45807.8881767732  43002.4734313835  85824.7492449730
      1990        53  43955.8102785410  41482.5457354278  84076.0564222023
      1990        54  44626.9437091158  41404.3573987096  86854.5759067721
      1990        55  43887.4243801991  42537.0625106929  85036.7872325891
      1990        56  43511.3097844291  40116.9775495321  86480.5840959671
      1990        57  42627.6838914872  40633.9452032687  84747.0508271658
      1990        58  42553.9427218065  41169.4567156226  85662.2887190249
      1990        59  42790.5387673054  41524.5715638590  84647.5334595177
      1990        60  43894.5806211025  40137.4028232316  85406.5472886935
      1990        61  40571.5469680162  40172.7556137898  78555.9495483943
      1990        62  38595.5932818511  36522.5070436318  76636.4497078701
      1990        63  38106.0570088486  36317.5680499633  70747.5160769200
      1990        64  34780.8616651022  32516.1579235028  66185.9279184126
      1990        65  33766.0123249089  32996.2716046406  65613.7551348379
      1990        66  30558.1938649308  30125.5670772487  60425.4071223674
      1990        67  30437.3284782541  28512.7620884804  57998.8036397283
      1990        68  28965.7437656307  27325.2549744789  55161.8706517589
      1990        69  26889.3974903830  25705.5387463946  50214.8274420020
      1990        70  25729.5536644590  25499.8261325967  49258.1315338614
      1990        71  24642.5960303374  23253.1423154991  46725.0997924345
      1990        72  23058.1367868421  22203.9115624782  45561.4928848556
      1990        73  22076.7891037343  21706.9560380304  43233.0853436626
      1990        74  21994.7408783467  20700.2986753157  41636.8909026290
      1990        75  19760.9929265563  19292.3637217780  38984.0313811003
      1990        76  19443.6730737457  18196.3807971607  38546.8019943877
      1990        77  18369.9116554796  17237.2923323060  35503.5805771163
      1990        78  17395.9187580882  16737.3802598736  33317.0317258204
      1990        79  16303.8388683246  16032.4406694655  32533.4029083782
      1990        80  15722.0279002751  14905.6608864194  30627.8536133371
      1990        81  14799.6922977635  14073.3429058781  29102.1559206966
      1990        82  14395.8121046263  13805.7763441498  27001.1732634342
      1990        83  13234.7708392652  12998.8419482576  26321.3940143267
      1990        84  12806.4267773659  12132.3695433172  25150.5182335919
      1990        85  12030.7784971232  11902.9243089719  23722.9293788012
      1990        86  11707.6148525836  10927.0226967844  22839.4877517204
      1990        87  11213.0631660482  10519.3299175988  20678.9659888072
      1990        88  10700.2886096001  10364.4576025804  20029.6087849301
      1990        89  10062.2248722328   9532.8972504207  18976.7745726211
      1990        90   9250.4849404353   9015.9707456673  17987.5371631377
      1990        91   8997.6027122009   8394.0469574824  17721.3926178272
      1990        92   8583.8259468216   8558.8336929199  16407.9981889578
      1990        93   8249.1549955702   7761.8769942838  16294.2953574355
      1990        94   7740.0050620637   7627.2356810314  15036.3794618863
      1990        95   7365.4400581902   7175.2112187334  14848.7769712120
      1990        96   6902.1127473051   6679.6967917166  14106.2332153198
      1990        97   6598.3544537033   6531.8911485958  13122.3179491033
      1990        98   6349.2669956554   5958.4194373714  12461.6383458658
      1990        99   6118.6471890924   5717.2334911687  12252.2330677774
      1990       100   5929.9843242048   5477.7076355297  11278.6947990149
      1990       101   5546.5066588979   5174.7822110062  10767.2659730503
      1990       102   5140.5887391225   4946.7884131460   9909.7300984869
      1990       103   4916.7747136705   4763.2403859626   9423.0574145099
      1990       104   4785.6177510655   4629.6680570393   9406.9577514979
      1990       105   4416.8906769462   4260.5283357239   8843.3961158672
      1990       106   4309.2119605876   4020.0291950452   8457.7450936410
      1990       107   4132.4796230237   3877.0360266289   7932.0720561400
      1990       108   3967.6537253559   3729.0091298606   7656.1090616629
      1990       109   3473.7127671510   3440.8027092925   7157.2843815696
      1990      110+   3448.5079309940   3432.2628443739   6602.8363223533
      1991         0  47815.7789280938  47574.3749251792  97579.5313382910
      1991         1  50399.1174227588  49300.2602990928  98237.3419178495
      1991         2  51983.1174204545  50260.3562171728  96993.5147425235
      1991         3  52898.9604515924  48558.9917144934  99339.3174581210
      1991         4  51358.3910816662  49871.6899558831  97322.6662709191
      1991         5  49662.5894965576  47977.9746743033 101196.6877010406
      1991         6  52864.2623010600  50040.0944962874  98435.0190923094
      1991         7  51474.5793648965  48256.0930875666 100159.0765992905
      1991         8  51332.3500662944  49155.7512800495  98157.8109181857
      1991         9  51666.0003438360  48505.0400112330  97184.0595044001
      1991        10  49596.0888274659  47673.8986142372 100194.5239437268
      1991        11  50741.6373435712  48730.7360046714  98685.3277025965
      1991        12  49260.0214962917  49256.0375396093  99540.5457705007
      1991        13  50218.0400521029  49855.5082108305  97219.0208736577
