  Human Mortality Database
  USA central death rates (synthetic mock data for CI testing)
      Year       Age            Female              Male             Total
      1990         0      0.0068975719      0.0094415951      0.0079214376
      1990         1      0.0002793467      0.0004065764      0.0003529390
      1990         2      0.0002864105      0.0003671886      0.0003329040
      1990         3      0.0002900071      0.0003905293      0.0003468792
      1990         4      0.0002869237      0.0003990412      0.0003349214
      1990         5      0.0002958871      0.0004070343      0.0003393194
      1990         6      0.0003030500      0.0004014480      0.0003335983
      1990         7      0.0003042142      0.0004045928      0.0003576223
      1990         8      0.0003341774      0.0004159233      0.0003584868
      1990         9      0.0003127696      0.0004371594      0.0003689124
      1990        10      0.0003153509      0.0004304626      0.0003864555
      1990        11      0.0003769854      0.0004737341      0.0004021219
      1990        12      0.0003770002      0.0005356045      0.0004689376
      1990        13      0.0004357085      0.0005603016      0.0005330627
      1990        14      0.0004936240      0.0006543800      0.0005853518
      1990        15      0.0006148743      0.0008139225      0.0006909818
      1990        16      0.0006962813      0.0009163965      0.0008150472
      1990        17      0.0008197700      0.0010826802      0.0009312479
      1990        18      0.0008942563      0.0011798531      0.0010946981
      1990        19      0.0010129702      0.0013748856      0.0011440821
      1990        20      0.0010908270      0.0014484404      0.0012819157
      1990        21      0.0011263088      0.0015399070      0.0012879246
      1990        22      0.0011592083      0.0014696140      0.0013293589
      1990        23      0.0010995486      0.0015109064      0.0012392908
      1990        24      0.0010676217      0.0013390139      0.0011730173
      1990        25      0.0009526667      0.0012506781      0.0010483420
      1990        26      0.0008049412      0.0012167321      0.0010252971
      1990        27      0.0007921076      0.0010905004      0.0009182025
      1990        28      0.0007430566      0.0010616204      0.0009127415
      1990        29      0.0007242578      0.0009800643      0.0009068561
      1990        30      0.0007509007      0.0009637721      0.0008342429
      1990        31      0.0007490455      0.0010130703      0.0008943187
      1990        32      0.0007782875      0.0010613769      0.0009081698
      1990        33      0.0008497719      0.0011206490      0.0009837257
      1990        34      0.0008721006      0.0012101836      0.0010533299
      1990        35      0.0009258510      0.0012293725      0.0010694634
      1990        36      0.0009943664      0.0013966398      0.0011041521
      1990        37      0.0010780959      0.0014854776      0.0012847431
      1990        38      0.0011282861      0.0014908724      0.0013816939
      1990        39      0.0012639603      0.0015950250      0.0014677274
      1990        40      0.0013992079      0.0018269934      0.0015552660
      1990        41      0.0013828401      0.0018909011      0.0017310132
      1990        42      0.0016033016      0.0021169671      0.0019459565
      1990        43      0.0017040817      0.0022818474      0.0019416659
      1990        44      0.0018187434      0.0024404893      0.0021290353
      1990        45      0.0019967597      0.0026250213      0.0023499613
      1990        46      0.0020785496      0.0030403497      0.0025652044
      1990        47      0.0021907487      0.0033365555      0.0026673507
      1990        48      0.0024352988      0.0032675519      0.0028677395
      1990        49      0.0027857479      0.0035999352      0.0030074614
      1990        50      0.0029863175      0.0042475700      0.0036290282
      1990        51      0.0033237447      0.0045073153      0.0039031621
      1990        52      0.0036622184      0.0047722393      0.0041715481
      1990        53      0.0041191473      0.0050923072      0.0043166344
      1990        54      0.0043395061      0.0056815657      0.0048268910
      1990        55      0.0044108414      0.0063084890      0.0051572349
      1990        56      0.0050417283      0.0067558616      0.0060021623
      1990        57      0.0054197497      0.0070755604      0.0065256059
      1990        58      0.0061759995      0.0080012356      0.0069409685
      1990        59      0.0064917596      0.0090079587      0.0081200956
      1990        60      0.0073947057      0.0098976128      0.0082982520
      1990        61      0.0078890748      0.0108822456      0.0096282363
      1990        62      0.0086632794      0.0110652246      0.0105332844
      1990        63      0.0093945276      0.0124010783      0.0111430629
      1990        64      0.0101354293      0.0139127339      0.0126462864
      1990        65      0.0113099110      0.0152022117      0.0129627387
      1990        66      0.0123551272      0.0178478085      0.0147288129
      1990        67      0.0133110812      0.0190387074      0.0167772544
      1990        68      0.0152763448      0.0206481424      0.0171692351
      1990        69      0.0177225724      0.0222315028      0.0188881777
      1990        70      0.0184427178      0.0243375911      0.0202311578
      1990        71      0.0200043658      0.0274929089      0.0233839840
      1990        72      0.0206615694      0.0291521010      0.0251437089
      1990        73      0.0240854021      0.0321775304      0.0282414597
      1990        74      0.0255653986      0.0358884112      0.0301718098
      1990        75      0.0289021546      0.0382696518      0.0339942524
      1990        76      0.0314873513      0.0428565487      0.0365009523
      1990        77      0.0351340346      0.0469640457      0.0384801022
      1990        78      0.0364864168      0.0509893087      0.0451703749
      1990        79      0.0438118537      0.0572770054      0.0481067897
      1990        80      0.0445561425      0.0617633030      0.0543516394
      1990        81      0.0508907303      0.0685514558      0.0578338673
      1990        82      0.0586166926      0.0697775388      0.0655545544
      1990        83      0.0580571040      0.0823584384      0.0719122034
      1990        84      0.0673731806      0.0864997021      0.0774627378
      1990        85      0.0712707406      0.0970036702      0.0868919847
      1990        86      0.0828582547      0.1054662463      0.0945945732
      1990        87      0.0897458816      0.1146505028      0.0978118740
      1990        88      0.0950996680      0.1295636297      0.1159316798
      1990        89      0.1071364794      0.1450155550      0.1198886656
      1990        90      0.1152890421      0.1514520075      0.1387539895
      1990        91      0.1356218237      0.1747159088      0.1551484330
      1990        92      0.1339725194      0.1913921931      0.1688535851
      1990        93      0.1517276347      0.2112088479      0.1749087548
      1990        94      0.1666220268      0.2251606216      0.2028050464
      1990        95      0.1926067036      0.2457364089      0.2091713267
