age,qx_male,qx_female
0,0.01400000,0.01150000
1,0.00629061,0.00516728
2,0.00282655,0.00232181
3,0.00127005,0.00104326
4,0.00057067,0.00046877
5,0.00066463,0.00037036
6,0.00070525,0.00038543
7,0.00075381,0.00040330
8,0.00081086,0.00042417
9,0.00087666,0.00044813
10,0.00095109,0.00047518
11,0.00103358,0.00050513
12,0.00112306,0.00053766
13,0.00121792,0.00057225
14,0.00131604,0.00060822
15,0.00141486,0.00064474
16,0.00151146,0.00068088
17,0.00160275,0.00071563
18,0.00168563,0.00074800
19,0.00175720,0.00077706
20,0.00181497,0.00080203
21,0.00185706,0.00082233
22,0.00188232,0.00083763
23,0.00189046,0.00084789
24,0.00188205,0.00085338
25,0.00185850,0.00085463
26,0.00182201,0.00085246
27,0.00177533,0.00084788
28,0.00172167,0.00084205
29,0.00166444,0.00083622
30,0.00160705,0.00083165
31,0.00155276,0.00082955
32,0.00150451,0.00083103
33,0.00146478,0.00083710
34,0.00143559,0.00084858
35,0.00141847,0.00086618
36,0.00141443,0.00089044
37,0.00142412,0.00092179
38,0.00144781,0.00096058
39,0.00148556,0.00100710
40,0.00153727,0.00106162
41,0.00160279,0.00112441
42,0.00168197,0.00119578
43,0.00177477,0.00127612
44,0.00188127,0.00136589
45,0.00200172,0.00146564
46,0.00213655,0.00157605
47,0.00228641,0.00169790
48,0.00245212,0.00183211
49,0.00263474,0.00197972
50,0.00283553,0.00214191
51,0.00305594,0.00232000
52,0.00329765,0.00251547
53,0.00356253,0.00272994
54,0.00385268,0.00296523
55,0.00417041,0.00322332
56,0.00451829,0.00350639
57,0.00489912,0.00381684
58,0.00531600,0.00415731
59,0.00577230,0.00453067
60,0.00627171,0.00494009
61,0.00681829,0.00538903
62,0.00741646,0.00588129
63,0.00807103,0.00642102
64,0.00878730,0.00701276
65,0.00957103,0.00766150
66,0.01042849,0.00837268
67,0.01136656,0.00915226
68,0.01239273,0.01000675
69,0.01351517,0.01094328
70,0.01474277,0.01196963
71,0.01608524,0.01309432
72,0.01755315,0.01432663
73,0.01915800,0.01567670
74,0.02091231,0.01715560
75,0.02282967,0.01877540
76,0.02492488,0.02054925
77,0.02721398,0.02249148
78,0.02971437,0.02461767
79,0.03244494,0.02694478
80,0.03542610,0.02949124
81,0.03867993,0.03227704
82,0.04223029,0.03532386
83,0.04610289,0.03865520
84,0.05032543,0.04229644
85,0.05492768,0.04627502
86,0.05994156,0.05062052
87,0.06540126,0.05536476
88,0.07134326,0.06054193
89,0.07780643,0.06618865
90,0.08483202,0.07234407
91,0.09246367,0.07904991
92,0.10074734,0.08635048
93,0.10973126,0.09429265
94,0.11946573,0.10292582
95,0.13000294,0.11230178
96,0.14139660,0.12247454
97,0.15370158,0.13350002
98,0.16697335,0.14543571
99,0.18126733,0.15834013
100,1.00000000,1.00000000
